TEMP,PRES,CAO,CACO3
0,1,876.033,787.939
10,1,877.125,799.776
20,1,878.216,811.614
30,1,879.308,823.437
40,1,880.399,835.05
50,1,881.49,846.387
60,1,882.581,857.449
70,1,883.673,868.234
80,1,884.764,878.744
90,1,885.855,888.979
100,1,886.946,898.937
110,1,888.038,908.62
120,1,889.129,918.027
130,1,890.22,927.158
140,1,891.312,936.014
150,1,892.403,944.594
160,1,893.494,952.899
170,1,894.585,960.928
180,1,895.677,968.681
190,1,896.768,976.158
200,1,897.859,983.36
210,1,898.95,990.285
220,1,900.042,996.936
230,1,901.133,1003.31
240,1,902.224,1009.41
250,1,903.315,1015.23
260,1,904.407,1020.78
270,1,905.498,1026.05
280,1,906.59,1031.05
290,1,907.681,1035.77
300,1,908.772,1040.21
310,1,909.863,1044.39
320,1,910.954,1048.51
330,1,912.046,1052.63
340,1,913.135,1056.75
350,1,914.223,1060.87
360,1,915.309,1064.98
370,1,916.392,1069.1
380,1,917.474,1073.22
390,1,918.553,1077.34
400,1,919.631,1081.46
410,1,920.706,1085.57
420,1,921.78,1089.69
430,1,922.851,1093.81
440,1,923.92,1097.93
450,1,924.988,1102.04
460,1,926.053,1106.16
470,1,927.117,1110.28
480,1,928.178,1114.4
490,1,929.237,1118.52
500,1,930.294,1122.63
510,1,931.349,1126.75
520,1,932.403,1130.87
530,1,933.454,1134.99
540,1,934.503,1139.11
550,1,935.551,1143.22
560,1,936.596,1147.34
570,1,937.638,1151.46
580,1,938.68,1155.58
590,1,939.719,1159.7
600,1,940.756,1163.81
610,1,941.791,1167.93
620,1,942.824,1172.05
630,1,943.855,1176.17
640,1,944.884,1180.28
650,1,945.911,1184.4
660,1,946.936,1188.52
670,1,947.959,1192.64
680,1,948.98,1196.76
690,1,949.998,1200.87
700,1,951.015,1204.99
710,1,952.03,1209.11
720,1,953.043,1213.23
730,1,954.054,1217.35
740,1,955.062,1221.46
750,1,956.069,1225.58
760,1,957.074,1229.7
770,1,958.076,1233.82
780,1,959.077,1237.94
790,1,960.076,1242.05
800,1,961.072,1246.17
810,1,962.067,1250.29
820,1,963.059,1254.41
830,1,964.05,1258.52
840,1,965.039,1262.64
850,1,966.025,1266.76
860,1,967.009,1270.88
870,1,967.992,1275
880,1,968.972,1279.11
890,1,969.951,1283.23
900,1,970.927,1287.35
910,1,971.902,1291.47
920,1,972.874,1295.59
930,1,973.844,1299.7
940,1,974.813,1303.82
950,1,975.779,1307.94
960,1,976.743,1312.06
970,1,977.705,1316.18
980,1,978.665,1320.29
990,1,979.624,1324.41
1000,1,980.58,1328.53
