TEMP,PRES,CAO,CAOH2,CACO3
0,1,876.0336382,1135.580726,787.939
10,1,877.125,1159.003059,799.776
20,1,878.216,1180.970584,811.614
30,1,879.308,1201.537215,823.437
40,1,880.399,1220.756867,835.05
50,1,881.49,1238.683456,846.387
60,1,882.581,1255.370894,857.449
70,1,883.673,1270.873098,868.234
80,1,884.764,1285.243981,878.744
90,1,885.855,1298.537458,888.979
100,1,886.946,1310.807445,898.937
110,1,888.038,1322.107855,908.62
120,1,889.129,1332.492603,918.027
130,1,890.22,1342.015604,927.158
140,1,891.312,1350.730773,936.014
150,1,892.403,1358.692023,944.594
160,1,893.494,1365.953271,952.899
170,1,894.585,1372.56843,960.928
180,1,895.677,1378.591415,968.681
190,1,896.768,1384.07614,976.158
200,1,897.859,1389.076521,983.36
210,1,898.95,1393.646472,990.285
220,1,900.042,1397.839907,996.936
230,1,901.133,1401.710742,1003.31
240,1,902.224,1405.312891,1009.41
250,1,903.315,1408.700268,1015.23
260,1,904.407,1411.926788,1020.78
270,1,905.498,1415.046366,1026.05
280,1,906.59,1418.112916,1031.05
290,1,907.681,1421.180353,1035.77
300,1,908.772,1424.302593,1040.21
310,1,909.863,1427.533548,1044.39
320,1,910.954,1430.927134,1048.51
330,1,912.046,1434.537266,1052.63
340,1,913.135,1438.417859,1056.75
350,1,914.223,1442.622826,1060.87
360,1,915.309,1447.206083,1064.98
370,1,916.392,1452.221543,1069.1
380,1,917.474,1457.723123,1073.22
390,1,918.553,1463.764736,1077.34
400,1,919.631,1470.400297,1081.46
410,1,920.706,1477.683721,1085.57
420,1,921.78,1485.668922,1089.69
430,1,922.851,1494.37021,1093.81
440,1,923.92,1503.25457,1097.93
450,1,924.988,1512.138929,1102.04
460,1,926.053,1521.023289,1106.16
470,1,927.117,1529.907648,1110.28
480,1,928.178,1538.792007,1114.4
490,1,929.237,1547.676367,1118.52
500,1,930.294,1556.560726,1122.63
510,1,931.349,1565.445086,1126.75
520,1,932.403,1574.329445,1130.87
530,1,933.454,1583.213805,1134.99
540,1,934.503,1592.098164,1139.11
550,1,935.551,1600.982523,1143.22
560,1,936.596,1609.866883,1147.34
570,1,937.638,1618.751242,1151.46
580,1,938.68,1627.635602,1155.58
590,1,939.719,1636.519961,1159.7
600,1,940.756,1645.404321,1163.81
610,1,941.791,1654.28868,1167.93
620,1,942.824,1663.173039,1172.05
630,1,943.855,1672.057399,1176.17
640,1,944.884,1680.941758,1180.28
650,1,945.911,1689.826118,1184.4
660,1,946.936,1698.710477,1188.52
670,1,947.959,1707.594836,1192.64
680,1,948.98,1716.479196,1196.76
690,1,949.998,1725.363555,1200.87
700,1,951.015,1734.247915,1204.99
710,1,952.03,1743.132274,1209.11
720,1,953.043,1752.016634,1213.23
730,1,954.054,1760.900993,1217.35
740,1,955.062,1769.785352,1221.46
750,1,956.069,1778.669712,1225.58
760,1,957.074,1787.554071,1229.7
770,1,958.076,1796.438431,1233.82
780,1,959.077,1805.32279,1237.94
790,1,960.076,1814.20715,1242.05
800,1,961.072,1823.091509,1246.17
810,1,962.067,1831.975868,1250.29
820,1,963.059,1840.860228,1254.41
830,1,964.05,1849.744587,1258.52
840,1,965.039,1858.628947,1262.64
850,1,966.025,1867.513306,1266.76
860,1,967.009,1876.397666,1270.88
870,1,967.992,1885.282025,1275
880,1,968.972,1894.166384,1279.11
890,1,969.951,1903.050744,1283.23
900,1,970.927,1911.935103,1287.35
910,1,971.902,1920.819463,1291.47
920,1,972.874,1929.703822,1295.59
930,1,973.844,1938.588182,1299.7
940,1,974.813,1947.472541,1303.82
950,1,975.779,1956.3569,1307.94
960,1,976.743,1965.24126,1312.06
970,1,977.705,1974.125619,1316.18
980,1,978.665,1983.009979,1320.29
990,1,979.624,1991.894338,1324.41
1000,1,980.58,2000.778698,1328.53
