,T_flue_gas_reactor_in,T_cao_reactor_in,T_water_reactor_in
Tcarb=600_Tw=80_X=0.2,539.4412814295914,585.0,27.22635007075326
Tcarb=600_Tw=150_X=0.2,578.1809618124144,584.9999491633965,55.722715095671354
Tcarb=600_Tw=80_X=0.3,538.128034661732,585.0,27.289690201852505
Tcarb=600_Tw=150_X=0.3,235.36957138217986,220.6288370443508,123.32489511194525
Tcarb=600_Tw=80_X=0.4,571.8981183485141,584.9999003706841,23.901594959237794
Tcarb=600_Tw=150_X=0.4,579.4480705932748,585.0,53.78498914532105
Tcarb=600_Tw=80_X=0.5,380.7547364892567,584.9998755280217,42.47328425144483
Tcarb=600_Tw=150_X=0.5,553.9031982464007,584.9999305201452,80.8455601017493
Tcarb=630_Tw=80_X=0.2,581.6809359405529,615.0,26.145826529860834
Tcarb=630_Tw=150_X=0.2,611.5574812437446,615.0,53.4149511313717
Tcarb=630_Tw=80_X=0.3,571.5281591886813,614.999964891451,27.104334073678775
Tcarb=630_Tw=150_X=0.3,608.66473322064,614.9998244122444,56.169636423874756
Tcarb=630_Tw=80_X=0.4,487.51002881935733,615.0,35.37020609732262
Tcarb=630_Tw=150_X=0.4,599.423077447203,614.9999943794685,65.91754400608862
Tcarb=630_Tw=80_X=0.5,593.8505759488834,615.0,24.82451479809692
Tcarb=630_Tw=150_X=0.5,591.6459535629249,614.9996477064775,74.10120769061207
Tcarb=660_Tw=80_X=0.2,595.4777585459808,645.0,27.946317351393596
Tcarb=660_Tw=150_X=0.2,632.8370045504287,645.0,64.40312368232378
Tcarb=660_Tw=80_X=0.3,391.08214326284457,644.9999823865753,47.96187648732323
Tcarb=660_Tw=150_X=0.3,622.7045455810477,644.9999894321614,74.92723584437836
Tcarb=660_Tw=80_X=0.4,527.8436473394709,645.0,34.567926653403305
Tcarb=660_Tw=150_X=0.4,617.5155144582075,644.9997516540591,80.24399704045037
Tcarb=660_Tw=80_X=0.5,587.4956919778488,645.0,28.611196600549288
Tcarb=660_Tw=150_X=0.5,633.371735222555,644.9992174813938,62.98305915936015
