,T_flue_gas_reactor_in,T_cao_reactor_in,T_water_reactor_in,flue_gas_composition,deconbonized_rate,T_carb,p_amb,T_amb,T_delta_pinch,T_flue_gas_in,p_flue_gas_in,T_decarbonized_flue_gas_out,T_water_reactor_out,p_carb,p_water,cao_conversion,deconbonized_flue_gas_composition,m_flue_gas_in,m_water_in,m_co2_capture,m_cao_in,m_deconbonized_flue_gas_out,m_cao_unr_out,m_caco3_out,p_flue_gas_compressor_out,T_flue_gas_compressor_out,flue_gas_compressor_power,Q_hot_water,conveying_power,hot_utility,cold_utility,cooling_power,total_auxiliary_power,plant_eff
Tcarb=600_Tw=80_X=0.2,540.3896069830852,584.9999503434672,27.751749836822878,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,600,101325,20,15,40,101325,40,80,105546.875,101325,0.2,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.445197985090611,0.345214831295379,2.1968216536978664,1.6438565908159313,1.757457322958293,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1367005.860849131,-47388.581386911115,99.99036222410496,36045.84,-288.36672,-64198.51668914581,0.978835476044938
Tcarb=600_Tw=150_X=0.2,577.0571615390664,584.9999581646923,64.04962458009118,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,600,101325,20,15,40,101325,40,150,105546.875,101325,0.2,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5077090889345366,0.345214831295379,2.1968216536978664,1.6438565908159313,1.757457322958293,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1367005.8674286848,-47388.581386911115,99.97045759696732,36045.84,-288.36672,-64198.51668914581,0.978835480756184
Tcarb=600_Tw=80_X=0.3,583.4880657682455,584.9996043675951,23.426528707097816,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,600,101325,20,15,40,101325,40,80,105546.875,101325,0.3,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.488116621257301,0.345214831295379,1.464547769131911,1.6438565908159313,1.0251834383923377,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1377780.4970221699,-32743.103695592014,99.94403569984911,26053.140000000003,-208.42512000000002,-49473.09739782671,0.9865505827827369
Tcarb=600_Tw=150_X=0.3,63.47358565856415,469.90588657416436,126.42676479719182,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,600,101325,20,15,40,101325,40,150,105546.875,101325,0.3,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5058520775193727,0.345214831295379,1.464547769131911,1.6438565908159313,1.0251834383923377,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1362005.8673189005,-32743.103695592014,0.0,32598.519161405235,-260.7881532912419,-49525.46043111795,0.9752552638545202
Tcarb=600_Tw=80_X=0.4,536.7514677528012,584.9998753870069,28.002367311173042,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,600,101325,20,15,40,101325,40,80,105546.875,101325,0.4,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.509578909356989,0.345214831295379,1.0984108268489332,1.6438565908159313,0.6590464961093598,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1383168.5607252417,-25420.364849932455,99.96326483310725,21056.804999999982,-168.45443999999986,-42110.38787216715,0.9904086700454211
Tcarb=600_Tw=150_X=0.4,564.1176192190804,585.0,77.02305921721796,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,600,101325,20,15,40,101325,40,150,105546.875,101325,0.4,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5137120207698829,0.345214831295379,1.0984108268489332,1.6438565908159313,0.6590464961093598,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1383168.751291792,-25420.364849932455,99.96558239995679,21056.804999999986,-168.4544399999999,-42110.38787216715,0.9904088064993349
Tcarb=600_Tw=80_X=0.5,477.731614839554,585.0,33.697931304169416,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,600,101325,20,15,40,101325,40,80,105546.875,101325,0.5,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.522454487888866,0.345214831295379,0.8787286614791466,1.6438565908159313,0.4393643307395733,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1386400.9484847118,-21026.72154253672,99.94659183614374,18058.995000000014,-144.4719600000001,-37692.76208477141,0.9927231998524386
Tcarb=600_Tw=150_X=0.5,582.3781182896942,584.9999696087391,57.629934515187415,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,600,101325,20,15,40,101325,40,150,105546.875,101325,0.5,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5149124893520876,0.345214831295379,0.8787286614791466,1.6438565908159313,0.4393643307395733,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1386401.0109288637,-21026.72154253672,99.96505519211318,18058.995000000003,-144.47196000000002,-37692.76208477141,0.9927232445651593
Tcarb=630_Tw=80_X=0.2,570.5694193476949,615.0,27.887512112906208,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,630,101325,20,15,40,101325,40,80,105546.875,101325,0.2,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,5.444018922094774,0.345214831295379,2.1968216536978664,1.6438565908159313,1.757457322958293,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1366709.8594860889,-47388.581386911115,99.99980584620971,36171.74999999999,-289.37399999999997,-64199.52396914581,0.9786235262330161
Tcarb=630_Tw=150_X=0.2,575.2443244462852,614.9999984206975,99.45178821361299,"{'co2': 0.1338, 'o2': 0.0384, 'n2': 0.6975}",0.9,630,101325,20,15,40,101325,40,150,105546.875,101325,0.2,"{'co2': 0.017857142857142853, 'n2': 0.9308936579115951, 'o2': 0.051249199231262005}",1.9890714221113102,0.5075991514785898,0.345214831295379,2.1968216536978664,1.6438565908159313,1.757457322958293,0.7845791620349524,109944.66145833334,48.10128136834442,-16521.568582234693,1366709.8610135843,-47388.581386911115,99.99197522822634,36171.749999999985,-289.3739999999999,-64199.52396914581,0.978623527326769
