,p_reaction,expansion_ratio,T_co2_reactor_in,T_cao_reactor_in,T_co2_compressor_in,T_co2_storage_turbine_in
Tcarb=775_X=0.2,446908.9916884208,4.228835122582633,567.7677357520826,759.9954387346756,35.0,250.0
Tcarb=775_X=0.3,436900.92800610233,4.139224919763343,569.7239544350475,760.0,35.00308118983462,250.11207067324597
Tcarb=775_X=0.4,436233.2762378347,4.132869794094627,569.7988053690946,759.9517496820706,35.0,250.0004912684753
Tcarb=775_X=0.5,435927.88555340184,4.129836536026319,569.8062772085848,759.9479039435527,35.0,250.0182779979443
Tcarb=825_X=0.2,487046.9299756683,4.614271923943237,602.6595566604652,809.9447604651683,35.00191324708315,250.0000915791152
Tcarb=825_X=0.3,470933.1990032661,4.451514090370038,606.1339047311287,809.5868638396532,35.01781951452535,250.00101326888324
Tcarb=825_X=0.4,482309.7218531832,4.566580443019832,603.3051775894639,809.9722436758123,35.0,250.00124643403427
Tcarb=825_X=0.5,481377.2016061194,4.560686272922183,603.3535231223418,810.0,35.0,250.0
Tcarb=875_X=0.2,539817.3678548139,5.112436850136673,635.9106622563856,860.0,35.0,250.00121535874567
Tcarb=875_X=0.3,539289.6683561857,5.101540690802598,635.8581497208904,859.7635470211868,35.00310538009592,250.0
Tcarb=875_X=0.4,536867.0989031227,5.0864239631513435,635.9438795990212,859.9737342538564,35.00003540650898,250.04780078838027
Tcarb=875_X=0.5,526860.1809004117,4.990001149893559,637.8064611436831,860.0,35.004109400067954,250.0
