,m_cao_i,p_co2_storage,T_reaction,cao_conversion,p_reaction,expansion_ratio,T_co2_reactor_in,T_cao_reactor_in,T_co2_compressor_in,T_co2_storage_turbine_in,p_co2_main_turbine_out,p_co2_compressor_in,p_co2_mix,p_co2_compressor_out,p_co2_storage_turbine_in,p_co2_storage_turbine_out,T_min,T_atm,m_co2_mix,m_co2_stoic,m_co2_rec,m_cao_unr,m_caco3,excess_index,T_co2_main_turbine_out,main_turbine_power,T_co2_compressor_out,compressor_power,T_co2_storage_turbine_out,storage_turbine_power,T_co2_mix,conveying_power,hot_utility,cold_utility,cooling_power,total_auxiliary_power,total_net_power,plant_eff
Tcarb=775_X=0.2,1.38,7500000.0,775.0,0.2,446908.9916884208,4.228835122582633,567.7677357520826,759.9954387346756,35.0,250.0,105681.34692739799,101454.09305030206,475435.0975408732,475435.0975408732,7425000.0,475435.0975408732,15.0,20.0,3.2533806695497427,0.2168571428571428,3.0365235266926,1.1039999999999999,0.4928571428571428,15.002414154708962,588.1429842620716,719403.1610838792,168.9901445236303,-381040.7065221371,75.73627780056677,31581.942702745277,162.97499838291787,-29768.571428571428,994.0520432112407,459168.13330019196,-3673.345066401536,-33441.91649497296,336502.48076951446,0.3835688311980328
Tcarb=775_X=0.3,1.38,7500000.0,775.0,0.3,436900.92800610233,4.139224919763343,569.7239544350475,760.0,35.00308118983462,250.11207067324597,105551.38618345045,101329.33073611243,464788.2212830876,464788.2212830876,7425000.0,464788.2212830876,15.0,20.0,4.968146772998075,0.3252857142857142,4.642861058712361,0.966,0.7392857142857142,15.273178485281747,590.682893773109,1084009.1517533783,166.94944452248308,-573224.7485488628,74.74841828342329,47674.35172841437,161.10690037494146,-30852.857142857145,950.3201617423969,684105.6663253149,-5472.845330602519,-36325.70247345966,522133.05245947035,0.3967756081198437
Tcarb=775_X=0.4,1.38,7500000.0,775.0,0.4,436233.2762378347,4.132869794094627,569.7988053690946,759.9517496820706,35.0,250.0004912684753,105552.1460804692,101330.06023725044,464077.95344450505,464077.95344450505,7425000.0,464077.95344450505,15.0,20.0,6.654818730229415,0.4337142857142856,6.22110444451513,0.828,0.9857142857142857,15.343784951121844,590.8653500593855,1450624.4851200704,166.79915240106135,-767171.8050281124,74.58410336186762,63574.19606406259,160.98278783508653,-31937.142857142855,999.1313803543562,909544.7377014081,-7276.357901611265,-39213.50075875412,707813.3753972666,0.403407351539591
Tcarb=775_X=0.5,1.38,7500000.0,775.0,0.5,435927.88555340184,4.129836536026319,569.8062772085848,759.9479039435527,35.0,250.0182779979443,105555.72399793977,101333.49503802217,463753.0697376616,463753.0697376616,7425000.0,463753.0697376616,15.0,20.0,8.340275962746928,0.542142857142857,7.79813310560407,0.69,1.232142857142857,15.383908231680765,590.9525419352746,1817182.0740960205,166.72921361757471,-961107.3369992187,74.56539692074807,79486.04418030479,160.9312057091587,-33021.42857142857,987.1150983593537,1134981.484423536,-9079.851875388289,-42101.28044681686,893459.5008302898,0.407370805317759
Tcarb=825_X=0.2,1.38,7500000.0,825.0,0.2,487046.9299756683,4.614271923943237,602.6595566604652,809.9447604651683,35.00191324708315,250.0000915791152,105552.28170416334,101330.1904359968,518135.0318890089,518135.0318890089,7425000.0,518135.0318890089,15.0,20.0,2.987602756913762,0.2168571428571428,2.7707456140566196,1.1039999999999999,0.4928571428571428,13.776824307243967,620.4601854035377,730113.3829458507,177.37414284981963,-370779.3802084012,79.8814497292015,30843.306940397608,170.52921533705745,-29768.571428571428,998.8022155707625,444180.455855119,-3553.443646840952,-33322.01507541238,356855.29460243473,0.4067683778867585
Tcarb=825_X=0.3,1.38,7500000.0,825.0,0.3,470933.1990032661,4.451514090370038,606.1339047311287,809.5868638396532,35.01781951452535,250.00101326888324,105791.69007283074,101560.0224699175,500992.76489709166,500992.76489709166,7425000.0,500992.76489709166,15.0,20.0,4.588926468667772,0.3252857142857142,4.263640754382058,0.966,0.7392857142857142,14.10737166476698,624.834469732804,1098042.608963898,173.93347863205634,-555880.3561495062,78.25227798971429,46701.00605969995,167.37160086018423,-30852.857142857145,835.9337038406807,660796.8669649682,-5286.374935719746,-36139.23207857689,552724.0267955147,0.42002208215168013
Tcarb=825_X=0.4,1.38,7500000.0,825.0,0.4,482309.7218531832,4.566580443019832,603.3051775894639,809.9722436758123,35.0,250.00124643403427,105617.26172817331,101392.57125904638,513095.4487799821,513095.4487799821,7425000.0,513095.4487799821,15.0,20.0,6.071754386959815,0.4337142857142856,5.6380401012455295,0.828,0.9857142857142857,13.99943369852395,621.7237637825116,1474880.282307982,176.36876317283884,-748834.6945802245,79.40777249336713,61856.09600452436,169.66910223649796,-31937.142857142855,995.6133687662856,879865.6677530301,-7038.925342024241,-38976.06819916709,748925.6155331146,0.42683864075442635
Tcarb=825_X=0.5,1.38,7500000.0,825.0,0.5,481377.2016061194,4.560686272922183,603.3535231223418,810.0,35.0,250.0,105549.29078638094,101327.3191549257,512103.40596395684,512103.40596395684,7425000.0,512103.40596395684,15.0,20.0,7.611285877653292,0.542142857142857,7.069143020510435,0.69,1.232142857142857,14.039262488425047,621.8810669392806,1847450.2734651475,176.24379355359207,-938036.568503995,79.31286953854948,77361.73330445378,169.56529488564087,-33021.42857142857,981.0491508654877,1097737.9308451847,-8781.903446761478,-41803.33201819005,944972.1062474162,0.43085785932892534
Tcarb=875_X=0.2,1.38,7500000.0,875.0,0.2,539817.3678548139,5.112436850136673,635.9106622563856,860.0,35.0,250.00121535874567,105589.05345508234,101365.49131687904,574273.7955902276,574273.7955902276,7425000.0,574273.7955902276,15.0,20.0,2.739480017871414,0.2168571428571428,2.5226228750142714,1.1039999999999999,0.4928571428571428,12.632648303754877,650.2035815578668,742096.1018329391,187.34353275022886,-362740.10239397525,84.93390018767809,29941.271695130003,179.5054566370053,-29768.571428571428,996.2409520279109,430975.1758580431,-3447.8014068643447,-33216.37283543577,376080.8982986581,0.42868305239962784
Tcarb=875_X=0.3,1.38,7500000.0,875.0,0.3,539289.6683561857,5.101540690802598,635.8581497208904,859.7635470211868,35.00310538009592,250.0,105711.13729004524,101482.69179844343,573712.4131448783,573712.4131448783,7425000.0,573712.4131448783,15.0,20.0,4.1438834663262964,0.3252857142857142,3.8185977520405823,0.966,0.7392857142857142,12.73921135893021,650.4687861500233,1121242.9089821368,187.1394079289292,-548296.1084794719,84.88437355619698,44924.783299204384,179.3785168230304,-30852.857142857145,974.5359049009253,642226.269619418,-5137.810156955344,-35990.667299812485,581880.9165020569,0.44217877686714147
Tcarb=875_X=0.4,1.38,7500000.0,875.0,0.4,536867.0989031227,5.0864239631513435,635.9438795990212,859.9737342538564,35.00003540650898,250.04780078838027,105549.02674107831,101327.06567143518,571135.2115990667,571135.2115990667,7425000.0,571135.2115990667,15.0,20.0,5.552981337420381,0.4337142857142856,5.119267051706096,0.828,0.9857142857142857,12.803316654131317,650.838276231339,1500103.7471983281,186.8441104447458,-733560.1391398701,84.70107790727758,59986.555651667404,179.13064866658016,-31937.142857142855,994.7997083096851,853394.055576786,-6827.1524446142885,-38764.29530175714,787765.8684083682,0.44897504575912117
Tcarb=875_X=0.5,1.38,7500000.0,875.0,0.5,526860.1809004117,4.990001149893559,637.8064611436831,860.0,35.004109400067954,250.0,105583.17825470843,101359.8511245201,560489.5541493741,560489.5541493741,7425000.0,560489.5541493741,15.0,20.0,7.012876511944617,0.542142857142857,6.4707336548017595,0.69,1.232142857142857,12.935477097131049,653.222861353712,1874833.1850024452,184.979372560973,-915089.842097324,83.73055427952306,75390.21715403508,177.41094236764616,-33021.42857142857,995.7561697566035,1063327.1338309848,-8506.617070647879,-41528.04564207645,993605.51441708,0.4530321499744578
