A,B,C,D,E
1750,2.1076,7.8711,1.5416000000000003,5.8628
1755,2.11414,7.89598,1.54814,5.88768
1760,2.12068,7.92086,1.5546800000000003,5.91256
1765,2.12722,7.94574,1.56122,5.93744
1770,2.13376,7.97062,1.5677600000000003,5.96232
1775,2.1403,7.9955,1.5743,5.9872
1780,2.14662,8.0195,1.5806200000000001,6.0112000000000005
1785,2.15294,8.0435,1.5869400000000002,6.0352
1790,2.1592599999999997,8.0675,1.59326,6.059200000000001
1795,2.16558,8.0915,1.59958,6.0832
1800,2.1719,8.1155,1.6059,6.107200000000001
1805,2.178,8.13868,1.612,6.130380000000001
1810,2.1841,8.16186,1.6181,6.153560000000001
1815,2.1902,8.18504,1.6242,6.176740000000001
1820,2.1963,8.20822,1.6303,6.1999200000000005
1825,2.2024,8.2314,1.6364,6.2231000000000005
1830,2.2085399999999997,8.2537,1.64254,6.2454
1835,2.21468,8.276,1.6486800000000001,6.2677
1840,2.22082,8.298300000000001,1.65482,6.290000000000001
1845,2.22696,8.3206,1.6609600000000002,6.3123000000000005
1850,2.2331,8.3429,1.6671,6.3346
1855,2.23914,8.36438,1.67314,6.35608
1860,2.24518,8.385860000000001,1.6791800000000001,6.377560000000001
1865,2.25122,8.40734,1.6852200000000002,6.399039999999999
1870,2.25726,8.42882,1.6912600000000002,6.42052
1875,2.2633,8.4503,1.6973000000000003,6.442
1880,2.26934,8.4709,1.7033400000000003,6.4626
1885,2.27538,8.4915,1.7093800000000003,6.4832
1890,2.28142,8.5121,1.71542,6.5038
1895,2.28746,8.5327,1.72146,6.5244
1900,2.2935,8.5533,1.7275,6.545
1905,2.29928,8.57306,1.7332800000000002,6.56476
1910,2.30506,8.59282,1.7390600000000003,6.5845199999999995
1915,2.31084,8.612580000000001,1.74484,6.604280000000001
1920,2.31662,8.632340000000001,1.75062,6.624040000000001
1925,2.3224,8.6521,1.7564000000000002,6.643800000000001
1930,2.32878,8.675600000000001,1.7627800000000002,6.667300000000001
1935,2.33516,8.699100000000001,1.7691600000000003,6.690800000000001
1940,2.3415399999999997,8.7226,1.77554,6.7143
1945,2.34792,8.7461,1.78192,6.7378
1950,2.3543,8.7696,1.7883,6.7613
1955,2.3605799999999997,8.79212,1.7945799999999998,6.78382
1960,2.36686,8.81464,1.8008600000000001,6.8063400000000005
1965,2.37314,8.837159999999999,1.80714,6.828859999999999
1970,2.37942,8.859679999999999,1.8134200000000003,6.851379999999999
1975,2.3857,8.8822,1.8197,6.873899999999999
1980,2.39204,8.907739999999999,1.8260400000000003,6.8994399999999985
1985,2.39838,8.93328,1.8323800000000001,6.92498
1990,2.40472,8.95882,1.8387200000000004,6.950519999999999
1995,2.41106,8.98436,1.8450600000000001,6.97606
2000,2.4174,9.0099,1.8514000000000004,7.0016
2005,2.4232,9.0298,1.8572000000000002,7.0215
2010,2.4290000000000003,9.0497,1.8630000000000004,7.041399999999999
2015,2.4348,9.069600000000001,1.8688000000000002,7.061300000000001
2020,2.4406000000000003,9.089500000000001,1.8746000000000005,7.081200000000001
2025,2.4464,9.1094,1.8804000000000003,7.101100000000001
